ID,Type,Final Classification,Sensor Classification,Vision Classification,Weight,Time to classify,Inductive,Proximity,Image path,Image name,Bin class,Bin weight change,Time to bin,Bin entered,Error Type
46,metal,ItemType.metal,ItemType.metal,ItemType.glass,8,5.974686146,747,6,/home/student/images/object_46.png,image_46.png,None,None,None,metal,
47,metal,ItemType.metal,ItemType.metal,ItemType.plastic,8,5.850882053,768,8,/home/student/images/object_47.png,image_47.png,None,None,None,metal,
48,glass,ItemType.glass,ItemType.glass,ItemType.glass,393,4.763942003,194,8,/home/student/images/object_48.png,image_48.png,None,None,None,glass,
49,plastic,ItemType.plastic,ItemType.plastic,ItemType.plastic,16,4.68288517,189,7,/home/student/images/object_49.png,image_49.png,None,None,None,plastic,
50,plastic,ItemType.plastic,ItemType.plastic,ItemType.glass,9,4.790459156,187,8,/home/student/images/object_50.png,image_50.png,None,None,None,plastic,
51,glass,ItemType.glass,ItemType.glass,ItemType.glass,502,4.812572956,188,7,/home/student/images/object_51.png,image_51.png,None,None,None,glass,
52,glass,ItemType.glass,ItemType.glass,ItemType.glass,420,4.766949177,184,7,/home/student/images/object_52.png,image_52.png,None,None,None,glass,
53,glass,ItemType.glass,ItemType.glass,ItemType.glass,391,4.765625954,188,7,/home/student/images/object_53.png,image_53.png,None,None,None,glass,
54,metal,ItemType.metal,ItemType.metal,ItemType.plastic,10,4.734385967,733,5,/home/student/images/object_54.png,image_54.png,None,None,None,none,Couldn’t roll in
55,plastic,ItemType.plastic,ItemType.plastic,ItemType.glass,9,4.69201684,184,7,/home/student/images/object_55.png,image_55.png,None,None,None,plastic,
56,glass,ItemType.glass,ItemType.glass,ItemType.glass,274,4.735953093,176,10,/home/student/images/object_56.png,image_56.png,None,None,None,glass,
57,glass,ItemType.glass,ItemType.glass,ItemType.glass,382,4.82831502,184,6,/home/student/images/object_57.png,image_57.png,None,None,None,glass,
58,metal,ItemType.metal,ItemType.metal,ItemType.plastic,16,4.751847029,733,8,/home/student/images/object_58.png,image_58.png,None,None,None,metal,
59,metal,ItemType.metal,ItemType.metal,ItemType.plastic,16,4.700551033,725,8,/home/student/images/object_59.png,image_59.png,None,None,None,metal,
62,plastic,ItemType.plastic,ItemType.plastic,ItemType.glass,9,4.713756084,189,8,/home/student/images/object_62.png,image_62.png,None,None,None,plastic,
63,metal,ItemType.metal,ItemType.metal,ItemType.plastic,9,4.709566832,731,24,/home/student/images/object_63.png,image_63.png,None,None,None,metal,
64,glass,ItemType.glass,ItemType.glass,ItemType.glass,501,4.72337985,183,6,/home/student/images/object_64.png,image_64.png,None,None,None,glass,
65,plastic,ItemType.plastic,ItemType.plastic,ItemType.plastic,17,4.667795897,184,8,/home/student/images/object_65.png,image_65.png,None,None,None,plastic,
66,plastic,ItemType.plastic,ItemType.plastic,ItemType.plastic,17,4.827742815,189,7,/home/student/images/object_66.png,image_66.png,None,None,None,none,Object too big – milk carton 2 pints
68,glass,ItemType.glass,ItemType.glass,ItemType.glass,252,4.745948076,183,8,/home/student/images/object_68.png,image_68.png,None,None,None,glass,
69,glass,ItemType.plastic,ItemType.glass,ItemType.plastic,298,4.718019962,172,9,/home/student/images/object_69.png,image_69.png,None,None,None,plastic,Sorting arm stuck
70,glass,ItemType.glass,ItemType.glass,ItemType.glass,346,4.712513924,184,9,/home/student/images/object_70.png,image_70.png,None,None,None,glass,
71,metal,ItemType.metal,ItemType.metal,ItemType.plastic,10,4.67013216,729,7,/home/student/images/object_71.png,image_71.png,None,None,None,metal,
72,plastic,ItemType.plastic,ItemType.plastic,ItemType.glass,9,4.67415309,178,6,/home/student/images/object_72.png,image_72.png,None,None,None,plastic,
73,glass,ItemType.glass,ItemType.glass,ItemType.metal,461,4.669683933,180,5,/home/student/images/object_73.png,image_73.png,None,None,None,glass,
74,glass,ItemType.glass,ItemType.glass,ItemType.metal,337,4.619697094,185,8,/home/student/images/object_74.png,image_74.png,None,None,None,glass,
75,metal,ItemType.metal,ItemType.metal,ItemType.plastic,8,4.662963152,751,8,/home/student/images/object_75.png,image_75.png,None,None,None,glass,
76,plastic,ItemType.plastic,ItemType.plastic,ItemType.metal,21,4.690124035,179,6,/home/student/images/object_76.png,image_76.png,None,None,None,glass,
77,plastic,ItemType.plastic,ItemType.plastic,ItemType.glass,9,4.722269058,186,7,/home/student/images/object_77.png,image_77.png,None,None,None,none,Couldn’t roll in
80,metal,ItemType.metal,ItemType.metal,ItemType.glass,8,5.266620874,730,7,/home/student/images/object_80.png,image_80.png,None,None,None,metal,
81,glass,ItemType.glass,ItemType.glass,ItemType.glass,396,4.709841013,188,7,/home/student/images/object_81.png,image_81.png,None,None,None,glass,
82,plastic,ItemType.plastic,ItemType.plastic,ItemType.glass,8,4.750674963,183,7,/home/student/images/object_82.png,image_82.png,None,None,None,plastic,
